               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                 326,            0.022616,           0.0036892,          0.00044542,             0.83942,             0.72233,             0.80941,             0.47761,            0.038432,           0.0050653,           0.0055417,           0.0007525,           0.0007525,           0.0007525,             0.47801,             0.54946,             0.35453,             0.26935,             0.49921,             0.61935,             0.57335,             0.84402,             0.94488,             0.75596,             0.64983,             0.79279,             0.85544,             0.82296
                 327,            0.021967,           0.0036517,          0.00054662,             0.82803,             0.72219,             0.80827,             0.47743,            0.038672,           0.0050783,           0.0056121,           0.0007426,           0.0007426,           0.0007426,             0.47218,             0.54354,             0.34787,             0.27326,             0.49636,             0.62655,              0.5823,             0.84177,             0.94489,             0.75507,             0.65615,             0.78661,             0.85394,             0.81948
                 328,             0.02275,           0.0038705,          0.00047887,              0.7981,             0.75116,             0.80636,             0.47791,            0.038494,           0.0050945,           0.0056044,           0.0007327,           0.0007327,           0.0007327,             0.47266,             0.55648,             0.34969,             0.27777,              0.4876,             0.61818,               0.583,             0.83842,             0.94588,             0.74863,             0.64911,             0.78579,             0.85777,             0.81891
                 329,            0.022072,           0.0037527,          0.00039866,             0.81914,               0.736,             0.80215,             0.47658,            0.038591,           0.0051008,           0.0056885,           0.0007228,           0.0007228,           0.0007228,             0.47255,             0.55097,             0.34566,             0.27133,             0.48735,              0.6271,             0.58113,             0.83683,             0.94656,             0.74741,             0.63206,             0.78588,             0.85205,             0.81426
                 330,            0.022373,           0.0038893,          0.00052065,             0.83013,             0.72793,             0.80299,             0.48057,            0.038567,           0.0051167,           0.0056331,           0.0007129,           0.0007129,           0.0007129,               0.471,             0.55801,             0.35104,             0.27073,             0.49716,             0.63347,             0.58259,             0.83656,             0.94648,             0.74657,             0.63514,              0.7855,             0.85252,             0.81813
                 331,            0.022642,           0.0035484,          0.00048285,             0.82445,             0.73277,             0.80296,             0.47712,            0.038739,           0.0051054,           0.0056729,            0.000703,            0.000703,            0.000703,             0.46996,             0.55186,             0.34551,              0.2734,             0.49837,             0.61718,             0.58357,             0.83491,             0.94744,             0.74127,             0.63932,              0.7894,             0.85313,             0.81526
                 332,            0.022278,           0.0039032,          0.00040068,             0.81448,             0.74372,              0.8013,             0.47671,            0.038501,           0.0051149,           0.0055565,           0.0006931,           0.0006931,           0.0006931,             0.47341,             0.55605,             0.34029,             0.27155,             0.49469,             0.61873,             0.58226,             0.83455,             0.94695,             0.73824,              0.6336,             0.78594,             0.85685,             0.81296
                 333,             0.02169,           0.0036949,          0.00052684,             0.80586,             0.75003,             0.80329,             0.47617,            0.038451,           0.0051102,           0.0055912,           0.0006832,           0.0006832,           0.0006832,             0.47543,             0.55523,              0.3411,             0.27087,             0.49412,             0.62524,             0.57115,             0.83655,             0.94579,             0.73788,             0.64603,             0.78555,             0.85737,             0.81387
                 334,            0.022412,           0.0037701,           0.0005009,             0.80734,             0.75078,             0.80513,             0.47736,            0.038511,           0.0050922,           0.0055753,           0.0006733,           0.0006733,           0.0006733,             0.47303,             0.55264,             0.34297,              0.2667,              0.5011,              0.6231,             0.58194,             0.83533,             0.94809,             0.74111,             0.65234,             0.78561,             0.85761,              0.8158
                 335,            0.021662,           0.0036163,          0.00038434,             0.82217,              0.7395,             0.80728,             0.47579,            0.038505,           0.0050852,            0.005571,           0.0006634,           0.0006634,           0.0006634,             0.47318,               0.554,             0.34747,             0.27061,              0.4971,              0.6132,             0.57494,              0.8377,             0.94978,             0.74926,              0.6537,              0.7873,             0.85713,             0.81611
                 336,            0.022047,           0.0035838,          0.00040283,             0.81532,             0.74406,              0.8039,             0.47771,            0.038543,           0.0050911,             0.00552,           0.0006535,           0.0006535,           0.0006535,             0.47507,             0.55713,             0.34991,              0.2642,             0.50103,                0.63,             0.56661,             0.83439,             0.94952,             0.74334,             0.64208,             0.78684,             0.85713,             0.81399
                 337,            0.021953,           0.0037369,          0.00041384,             0.82352,             0.73736,             0.80444,             0.47673,             0.03851,           0.0050817,           0.0056591,           0.0006436,           0.0006436,           0.0006436,             0.47329,             0.55716,             0.34818,             0.27322,              0.4981,             0.60878,              0.5784,             0.83937,             0.94611,             0.74546,             0.64519,             0.78458,             0.85522,             0.81516
                 338,            0.022246,            0.003758,          0.00038284,             0.80015,             0.75336,             0.80181,             0.47941,            0.038397,           0.0050955,           0.0055817,           0.0006337,           0.0006337,           0.0006337,             0.47624,              0.5542,             0.35535,             0.27105,             0.49362,             0.62594,             0.57949,             0.83817,             0.93679,             0.74267,             0.64687,             0.78436,             0.85377,             0.81003
