               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  28,            0.040359,           0.0061797,           0.0042249,             0.82507,             0.68684,             0.75928,             0.42599,            0.041757,           0.0047016,           0.0069928,            0.009109,            0.009109,            0.009109,             0.37182,             0.54263,             0.32178,             0.27897,             0.46161,             0.54307,             0.46205,             0.79172,             0.93641,             0.67796,             0.57181,             0.74579,             0.80673,             0.78452
                  29,              0.0393,           0.0060127,           0.0040881,             0.75563,             0.75282,             0.77074,             0.41093,            0.041181,           0.0048439,           0.0065078,            0.009076,            0.009076,            0.009076,             0.40559,             0.52836,             0.29392,             0.32525,             0.39771,             0.53843,             0.38728,             0.77129,             0.93833,             0.72007,             0.68299,             0.72782,             0.81502,             0.73969
                  30,            0.040333,           0.0061768,           0.0037803,                0.72,              0.7271,             0.71215,             0.38028,            0.042525,           0.0046701,           0.0067889,            0.009043,            0.009043,            0.009043,             0.43364,             0.21549,             0.28362,             0.30121,             0.45991,             0.53608,             0.43206,             0.80197,             0.58608,             0.67468,             0.64667,             0.72972,             0.81775,             0.72816
                  31,            0.039647,           0.0054262,           0.0038275,             0.78339,             0.72885,             0.76296,             0.43559,            0.039287,           0.0046795,           0.0066048,             0.00901,             0.00901,             0.00901,             0.45664,              0.5278,             0.30244,             0.30769,              0.4328,             0.54276,               0.479,             0.81048,             0.93919,             0.67737,             0.65786,             0.72856,             0.80869,             0.71858
                  32,            0.038807,           0.0060245,           0.0035624,             0.79391,             0.75386,             0.78885,              0.4478,            0.040004,           0.0045498,           0.0065554,            0.008977,            0.008977,            0.008977,             0.40996,             0.50517,             0.31892,             0.34065,             0.41974,             0.61118,             0.52899,             0.81453,             0.90856,             0.72226,             0.71712,             0.73339,             0.82273,             0.80338
                  33,            0.038588,           0.0056003,           0.0037496,             0.79795,             0.73251,             0.76127,             0.41912,             0.04119,           0.0045637,           0.0066357,            0.008944,            0.008944,            0.008944,             0.44512,             0.51868,             0.26929,             0.30719,             0.44051,              0.4732,             0.47985,              0.8202,             0.93147,             0.65143,             0.62624,             0.70108,             0.80937,             0.78908
                  34,            0.039098,            0.005716,            0.003597,             0.81151,             0.73572,             0.77743,             0.44514,            0.041274,           0.0045248,           0.0067209,            0.008911,            0.008911,            0.008911,             0.42915,             0.42434,             0.24742,             0.35418,             0.48394,             0.60565,             0.57129,             0.82943,             0.91155,             0.62754,              0.6886,             0.75012,             0.83082,             0.80392
                  35,             0.03778,           0.0055424,           0.0035029,             0.77864,             0.73575,             0.77012,             0.41725,            0.040848,           0.0047091,            0.006653,            0.008878,            0.008878,            0.008878,             0.41977,             0.49514,             0.26357,             0.31559,             0.43336,             0.49279,             0.50052,             0.80977,             0.94873,             0.62075,             0.66961,             0.71431,             0.85803,             0.76966
                  36,            0.037798,           0.0055073,           0.0035118,             0.74395,             0.74198,             0.76121,             0.42794,            0.040349,           0.0047134,           0.0064023,            0.008845,            0.008845,            0.008845,             0.45607,             0.51364,             0.24456,             0.32584,             0.45952,             0.59653,             0.39941,             0.82382,             0.93206,             0.61083,             0.67443,             0.79012,              0.8189,             0.67829
                  37,            0.036219,           0.0055201,           0.0034111,             0.81229,             0.72281,             0.76444,             0.42719,            0.040725,           0.0046141,           0.0062869,            0.008812,            0.008812,            0.008812,             0.44369,             0.48468,              0.3251,             0.26497,             0.45245,              0.5504,             0.46902,              0.8285,             0.92327,             0.73726,             0.55524,             0.71027,             0.81464,             0.78191
                  38,            0.037956,           0.0056422,           0.0033872,             0.81383,             0.71546,             0.76532,             0.41826,            0.042027,           0.0045912,             0.00703,            0.008779,            0.008779,            0.008779,             0.40805,             0.46287,             0.27329,             0.27319,             0.42684,             0.57015,             0.51346,             0.82161,             0.91322,             0.69341,             0.62409,             0.68523,             0.82712,             0.79255
                  39,            0.037642,           0.0057901,           0.0032751,             0.79738,              0.7193,             0.77409,             0.43713,            0.039988,           0.0045904,           0.0066118,            0.008746,            0.008746,            0.008746,             0.45871,             0.49004,             0.31517,              0.2485,             0.47824,             0.55126,             0.51796,             0.82249,             0.91741,             0.72686,             0.56389,             0.75112,             0.85521,             0.78165
                  40,            0.035261,           0.0053458,           0.0034114,              0.7942,             0.75904,             0.79581,             0.45072,            0.038948,           0.0045652,           0.0067582,            0.008713,            0.008713,            0.008713,             0.43319,             0.53875,             0.32854,             0.30006,             0.49669,             0.57539,             0.48244,             0.82835,              0.9541,             0.74309,             0.58886,             0.75651,             0.88109,             0.81866
                  41,            0.035411,           0.0053609,           0.0031968,              0.8025,              0.7401,             0.77851,             0.45601,            0.039409,            0.004561,           0.0073188,             0.00868,             0.00868,             0.00868,             0.44433,             0.49076,             0.33762,             0.28996,             0.43877,              0.6314,             0.55927,             0.81174,             0.92524,             0.71931,             0.59612,             0.71038,             0.87679,                0.81
                  42,            0.035918,           0.0053089,            0.003402,             0.77842,             0.73938,              0.7647,             0.44433,            0.038923,           0.0046307,           0.0064077,            0.008647,            0.008647,            0.008647,             0.46862,             0.55743,             0.30922,             0.29476,             0.45904,             0.65351,             0.36772,             0.82508,             0.94056,             0.72321,             0.58738,             0.72231,             0.87909,             0.67529
