               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  28,            0.038088,           0.0057838,            0.003751,             0.77661,             0.72028,             0.75889,              0.4513,            0.040135,           0.0046141,           0.0068608,            0.009109,            0.009109,            0.009109,             0.42248,             0.54855,             0.33108,             0.28652,             0.44337,             0.60734,             0.51975,             0.81902,             0.94498,             0.73082,             0.59827,             0.66618,             0.78691,             0.76606
                  29,            0.037506,           0.0056315,           0.0036654,             0.77294,             0.74199,             0.77886,             0.43505,            0.040342,           0.0045897,           0.0069102,            0.009076,            0.009076,            0.009076,             0.41615,             0.55388,             0.33164,             0.27478,             0.41793,             0.57625,              0.4747,              0.8415,              0.9711,             0.72486,              0.6089,             0.73201,             0.79009,             0.78357
                  30,            0.038068,           0.0057389,            0.003462,             0.75901,              0.7239,             0.74489,             0.40158,             0.04217,           0.0045025,           0.0069758,            0.009043,            0.009043,            0.009043,             0.46194,             0.28821,             0.29637,             0.27603,             0.42891,              0.5399,             0.51967,             0.83089,             0.75498,             0.72511,              0.6169,             0.70253,             0.81223,             0.77162
                  31,            0.037515,           0.0050806,           0.0036676,              0.7646,              0.7544,             0.76378,             0.42302,            0.040291,           0.0046896,           0.0069861,             0.00901,             0.00901,             0.00901,             0.45129,             0.54196,             0.27955,             0.26909,              0.4064,             0.50223,             0.51065,              0.8231,             0.93925,             0.69161,             0.61168,             0.69415,             0.78205,             0.80461
                  32,            0.037106,           0.0056806,           0.0033634,             0.75664,             0.73308,             0.76554,             0.44294,            0.039677,           0.0045948,           0.0064658,            0.008977,            0.008977,            0.008977,             0.45391,             0.54284,             0.31563,              0.2826,             0.39595,             0.57095,             0.53872,              0.8282,             0.93291,             0.72394,             0.60762,             0.69622,             0.77154,             0.79833
                  33,            0.037097,           0.0051998,           0.0035291,             0.78593,             0.69394,              0.7603,             0.41697,            0.041591,           0.0045538,           0.0057792,            0.008944,            0.008944,            0.008944,             0.43717,             0.53906,              0.2673,             0.28145,             0.36673,             0.51887,              0.5082,             0.81615,             0.92804,             0.62735,             0.61073,             0.68948,             0.84065,              0.8097
                  34,             0.03687,           0.0053342,            0.003391,             0.80439,             0.72526,             0.78405,             0.46152,            0.040719,           0.0045963,           0.0060519,            0.008911,            0.008911,            0.008911,             0.43437,             0.49496,             0.26862,             0.32191,              0.4775,              0.6645,              0.5688,             0.83298,             0.94652,              0.6968,             0.64553,             0.71519,             0.84484,              0.8065
                  35,            0.036329,           0.0051144,            0.003164,             0.78152,              0.7461,             0.77264,             0.44452,            0.038124,           0.0046242,           0.0058082,            0.008878,            0.008878,            0.008878,             0.45995,             0.54488,             0.32137,             0.29068,              0.4374,             0.51941,             0.53793,             0.84468,              0.9469,             0.72332,             0.64311,               0.635,             0.85969,             0.75581
                  36,            0.035505,           0.0051323,           0.0031864,             0.80173,             0.76296,             0.77295,             0.44302,            0.038523,           0.0045244,           0.0055827,            0.008845,            0.008845,            0.008845,             0.48848,             0.50685,             0.24997,             0.31674,             0.53822,             0.54302,             0.45782,             0.83617,             0.94473,              0.6273,              0.6465,             0.78718,             0.82206,             0.74669
                  37,            0.035483,           0.0051866,           0.0031765,             0.77355,             0.79792,             0.79297,             0.45778,            0.039043,           0.0045525,           0.0057268,            0.008812,            0.008812,            0.008812,             0.45255,             0.50699,             0.33321,             0.33575,             0.53087,             0.56427,             0.48079,             0.83948,             0.93332,             0.72422,             0.64918,             0.80824,             0.82299,             0.77336
